transaksi_id;invoice_line_id;invoice_id;sk_track;album_title;artist_name;genre_name;media_name;sk_trackdate;kuartal;tanggal;bulan;tahun_angka;hari_dalam_bulan_angka;sk_employee;employee_name;sk_customer;customer_name;unit_price;quantity;totalrevenue;billing_country
421;421;79;2558;Mezmerize                                                                                                                                                       ;System Of A Down                                                                                                        ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20211209;Q4;2021/12/09 00:00:00.000000000;December                      ;2021;9;4;Margaret Park                                                                                       ;9;Kara Nielsen                                                                                        ;0.99;1;0.99;Denmark                                                                                             
422;422;79;2560;Mezmerize                                                                                                                                                       ;System Of A Down                                                                                                        ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20211209;Q4;2021/12/09 00:00:00.000000000;December                      ;2021;9;4;Margaret Park                                                                                       ;9;Kara Nielsen                                                                                        ;0.99;1;0.99;Denmark                                                                                             
423;423;79;2562;Mezmerize                                                                                                                                                       ;System Of A Down                                                                                                        ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20211209;Q4;2021/12/09 00:00:00.000000000;December                      ;2021;9;4;Margaret Park                                                                                       ;9;Kara Nielsen                                                                                        ;0.99;1;0.99;Denmark                                                                                             
424;424;79;2564;Mezmerize                                                                                                                                                       ;System Of A Down                                                                                                        ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20211209;Q4;2021/12/09 00:00:00.000000000;December                      ;2021;9;4;Margaret Park                                                                                       ;9;Kara Nielsen                                                                                        ;0.99;1;0.99;Denmark                                                                                             
425;425;80;2568;[1997] Black Light Syndrome                                                                                                                                     ;Terry Bozzio, Tony Levin & Steve Stevens                                                                                ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211210;Q4;2021/12/10 00:00:00.000000000;December                      ;2021;10;4;Margaret Park                                                                                       ;13;Fernanda Ramos                                                                                      ;0.99;1;0.99;Brazil                                                                                              
426;426;80;2572;Live [Disc 1]                                                                                                                                                   ;The Black Crowes                                                                                                        ;Blues                                                                                                                   ;MPEG audio file                                                                                                         ;20211210;Q4;2021/12/10 00:00:00.000000000;December                      ;2021;10;4;Margaret Park                                                                                       ;13;Fernanda Ramos                                                                                      ;0.99;1;0.99;Brazil                                                                                              
427;427;80;2576;Live [Disc 1]                                                                                                                                                   ;The Black Crowes                                                                                                        ;Blues                                                                                                                   ;MPEG audio file                                                                                                         ;20211210;Q4;2021/12/10 00:00:00.000000000;December                      ;2021;10;4;Margaret Park                                                                                       ;13;Fernanda Ramos                                                                                      ;0.99;1;0.99;Brazil                                                                                              
428;428;80;2580;Live [Disc 1]                                                                                                                                                   ;The Black Crowes                                                                                                        ;Blues                                                                                                                   ;MPEG audio file                                                                                                         ;20211210;Q4;2021/12/10 00:00:00.000000000;December                      ;2021;10;4;Margaret Park                                                                                       ;13;Fernanda Ramos                                                                                      ;0.99;1;0.99;Brazil                                                                                              
429;429;80;2584;Live [Disc 2]                                                                                                                                                   ;The Black Crowes                                                                                                        ;Blues                                                                                                                   ;MPEG audio file                                                                                                         ;20211210;Q4;2021/12/10 00:00:00.000000000;December                      ;2021;10;4;Margaret Park                                                                                       ;13;Fernanda Ramos                                                                                      ;0.99;1;0.99;Brazil                                                                                              
430;430;80;2588;Live [Disc 2]                                                                                                                                                   ;The Black Crowes                                                                                                        ;Blues                                                                                                                   ;MPEG audio file                                                                                                         ;20211210;Q4;2021/12/10 00:00:00.000000000;December                      ;2021;10;4;Margaret Park                                                                                       ;13;Fernanda Ramos                                                                                      ;0.99;1;0.99;Brazil                                                                                              
431;431;81;2594;The Singles                                                                                                                                                     ;The Clash                                                                                                               ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20211213;Q4;2021/12/13 00:00:00.000000000;December                      ;2021;13;3;Jane Peacock                                                                                        ;19;Tim Goyer                                                                                           ;0.99;1;0.99;USA                                                                                                 
432;432;81;2600;The Singles                                                                                                                                                     ;The Clash                                                                                                               ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20211213;Q4;2021/12/13 00:00:00.000000000;December                      ;2021;13;3;Jane Peacock                                                                                        ;19;Tim Goyer                                                                                           ;0.99;1;0.99;USA                                                                                                 
433;433;81;2606;The Singles                                                                                                                                                     ;The Clash                                                                                                               ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20211213;Q4;2021/12/13 00:00:00.000000000;December                      ;2021;13;3;Jane Peacock                                                                                        ;19;Tim Goyer                                                                                           ;0.99;1;0.99;USA                                                                                                 
434;434;81;2612;Beyond Good And Evil                                                                                                                                            ;The Cult                                                                                                                ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211213;Q4;2021/12/13 00:00:00.000000000;December                      ;2021;13;3;Jane Peacock                                                                                        ;19;Tim Goyer                                                                                           ;0.99;1;0.99;USA                                                                                                 
435;435;81;2618;Beyond Good And Evil                                                                                                                                            ;The Cult                                                                                                                ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211213;Q4;2021/12/13 00:00:00.000000000;December                      ;2021;13;3;Jane Peacock                                                                                        ;19;Tim Goyer                                                                                           ;0.99;1;0.99;USA                                                                                                 
436;436;81;2624;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]                                                                                    ;The Cult                                                                                                                ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211213;Q4;2021/12/13 00:00:00.000000000;December                      ;2021;13;3;Jane Peacock                                                                                        ;19;Tim Goyer                                                                                           ;0.99;1;0.99;USA                                                                                                 
437;437;81;2630;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]                                                                                    ;The Cult                                                                                                                ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211213;Q4;2021/12/13 00:00:00.000000000;December                      ;2021;13;3;Jane Peacock                                                                                        ;19;Tim Goyer                                                                                           ;0.99;1;0.99;USA                                                                                                 
438;438;81;2636;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]                                                                                    ;The Cult                                                                                                                ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211213;Q4;2021/12/13 00:00:00.000000000;December                      ;2021;13;3;Jane Peacock                                                                                        ;19;Tim Goyer                                                                                           ;0.99;1;0.99;USA                                                                                                 
439;439;81;2642;The Doors                                                                                                                                                       ;The Doors                                                                                                               ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211213;Q4;2021/12/13 00:00:00.000000000;December                      ;2021;13;3;Jane Peacock                                                                                        ;19;Tim Goyer                                                                                           ;0.99;1;0.99;USA                                                                                                 
440;440;82;2651;The Police Greatest Hits                                                                                                                                        ;The Police                                                                                                              ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
441;441;82;2660;The Police Greatest Hits                                                                                                                                        ;The Police                                                                                                              ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
442;442;82;2669;Hot Rocks, 1964-1971 (Disc 1)                                                                                                                                   ;The Rolling Stones                                                                                                      ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
443;443;82;2678;No Security                                                                                                                                                     ;The Rolling Stones                                                                                                      ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
444;444;82;2687;No Security                                                                                                                                                     ;The Rolling Stones                                                                                                      ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
445;445;82;2696;Voodoo Lounge                                                                                                                                                   ;The Rolling Stones                                                                                                      ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
446;446;82;2705;Tangents                                                                                                                                                        ;The Tea Party                                                                                                           ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
447;447;82;2714;Tangents                                                                                                                                                        ;The Tea Party                                                                                                           ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
448;448;82;2723;Transmission                                                                                                                                                    ;The Tea Party                                                                                                           ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
449;449;82;2732;My Generation - The Very Best Of The Who                                                                                                                        ;The Who                                                                                                                 ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
450;450;82;2741;My Generation - The Very Best Of The Who                                                                                                                        ;The Who                                                                                                                 ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
451;451;82;2750;My Generation - The Very Best Of The Who                                                                                                                        ;The Who                                                                                                                 ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
452;452;82;2759;Serie Sem Limite (Disc 1)                                                                                                                                       ;Tim Maia                                                                                                                ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
453;453;82;2768;Serie Sem Limite (Disc 2)                                                                                                                                       ;Tim Maia                                                                                                                ;Latin                                                                                                                   ;MPEG audio file                                                                                                         ;20211218;Q4;2021/12/18 00:00:00.000000000;December                      ;2021;18;5;Steve Johnson                                                                                       ;28;Julia Barnett                                                                                       ;0.99;1;0.99;USA                                                                                                 
454;454;83;2782;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20211226;Q4;2021/12/26 00:00:00.000000000;December                      ;2021;26;3;Jane Peacock                                                                                        ;42;Wyatt Girard                                                                                        ;0.99;1;0.99;France                                                                                              
455;455;84;2783;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220108;Q1;2022/01/08 00:00:00.000000000;January                       ;2022;8;3;Jane Peacock                                                                                        ;43;Isabelle Mercier                                                                                    ;0.99;1;0.99;France                                                                                              
456;456;84;2784;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220108;Q1;2022/01/08 00:00:00.000000000;January                       ;2022;8;3;Jane Peacock                                                                                        ;43;Isabelle Mercier                                                                                    ;0.99;1;0.99;France                                                                                              
457;457;85;2786;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220108;Q1;2022/01/08 00:00:00.000000000;January                       ;2022;8;3;Jane Peacock                                                                                        ;45;Ladislav Kovács                                                                                     ;0.99;1;0.99;Hungary                                                                                             
458;458;85;2788;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220108;Q1;2022/01/08 00:00:00.000000000;January                       ;2022;8;3;Jane Peacock                                                                                        ;45;Ladislav Kovács                                                                                     ;0.99;1;0.99;Hungary                                                                                             
459;459;86;2790;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220109;Q1;2022/01/09 00:00:00.000000000;January                       ;2022;9;5;Steve Johnson                                                                                       ;47;Lucas Mancini                                                                                       ;0.99;1;0.99;Italy                                                                                               
460;460;86;2792;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220109;Q1;2022/01/09 00:00:00.000000000;January                       ;2022;9;5;Steve Johnson                                                                                       ;47;Lucas Mancini                                                                                       ;0.99;1;0.99;Italy                                                                                               
461;461;86;2794;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220109;Q1;2022/01/09 00:00:00.000000000;January                       ;2022;9;5;Steve Johnson                                                                                       ;47;Lucas Mancini                                                                                       ;0.99;1;0.99;Italy                                                                                               
462;462;86;2796;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220109;Q1;2022/01/09 00:00:00.000000000;January                       ;2022;9;5;Steve Johnson                                                                                       ;47;Lucas Mancini                                                                                       ;0.99;1;0.99;Italy                                                                                               
463;463;87;2800;Acústico                                                                                                                                                        ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220110;Q1;2022/01/10 00:00:00.000000000;January                       ;2022;10;5;Steve Johnson                                                                                       ;51;Joakim Johansson                                                                                    ;0.99;1;0.99;Sweden                                                                                              
464;464;87;2804;Volume Dois                                                                                                                                                     ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220110;Q1;2022/01/10 00:00:00.000000000;January                       ;2022;10;5;Steve Johnson                                                                                       ;51;Joakim Johansson                                                                                    ;0.99;1;0.99;Sweden                                                                                              
465;465;87;2808;Volume Dois                                                                                                                                                     ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220110;Q1;2022/01/10 00:00:00.000000000;January                       ;2022;10;5;Steve Johnson                                                                                       ;51;Joakim Johansson                                                                                    ;0.99;1;0.99;Sweden                                                                                              
466;466;87;2812;Volume Dois                                                                                                                                                     ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220110;Q1;2022/01/10 00:00:00.000000000;January                       ;2022;10;5;Steve Johnson                                                                                       ;51;Joakim Johansson                                                                                    ;0.99;1;0.99;Sweden                                                                                              
467;467;87;2816;Volume Dois                                                                                                                                                     ;Titãs                                                                                                                   ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20220110;Q1;2022/01/10 00:00:00.000000000;January                       ;2022;10;5;Steve Johnson                                                                                       ;51;Joakim Johansson                                                                                    ;0.99;1;0.99;Sweden                                                                                              
468;468;87;2820;Battlestar Galactica, Season 3                                                                                                                                  ;Battlestar Galactica                                                                                                    ;TV Shows                                                                                                                ;Protected MPEG-4 video file                                                                                             ;20220110;Q1;2022/01/10 00:00:00.000000000;January                       ;2022;10;5;Steve Johnson                                                                                       ;51;Joakim Johansson                                                                                    ;1.99;1;1.99;Sweden                                                                                              
